corpus_id,domain,strategy,chunk_size,embedding_model,chunking_time_ms,embedding_time_ms,num_chunks,mean_chunk_tokens,std_chunk_tokens,hit_rate_at_1,hit_rate_at_3,hit_rate_at_5,mrr,ndcg_at_5,context_precision,mean_retrieval_latency_ms,rouge_l
aws_s3,cloud_api,fixed_size,256,sentence-transformers/all-MiniLM-L6-v2,1209.0197090000006,14.885208999658062,212,255.71226415094338,4.318372396706817,0.5047619047619047,0.7904761904761904,0.8761904761904762,0.6523809523809524,0.7086332866044467,0.2323809523809524,0.043060352380993754,0.5826188265553309
aws_s3,cloud_api,fixed_size,256,BAAI/bge-large-en-v1.5,1209.0197090000006,32684.284957999807,212,255.71226415094338,4.318372396706817,0.6571428571428571,0.8857142857142857,0.9428571428571428,0.7736507936507935,0.8164020729283566,0.24571428571428572,0.04551666666671225,0.634725129134861
aws_s3,cloud_api,fixed_size,256,nomic-ai/nomic-embed-text-v1.5,1209.0197090000006,7767.637083001318,212,255.71226415094338,4.318372396706817,0.6095238095238096,0.8761904761904762,0.9047619047619048,0.7415873015873016,0.7834246691002367,0.2361904761904762,0.05306865714281797,0.6243656024297978
aws_s3,cloud_api,fixed_size,512,nomic-ai/nomic-embed-text-v1.5,1216.5197499999997,8057.303417001094,106,511.42452830188677,6.093529065788895,0.6571428571428571,0.9428571428571428,0.9714285714285714,0.796031746031746,0.840984895298702,0.29333333333333333,0.025117438095304374,0.6429180503393135
aws_s3,cloud_api,fixed_size,512,BAAI/bge-large-en-v1.5,1216.5197499999997,18263.616332999845,106,511.42452830188677,6.093529065788895,0.7238095238095238,0.9238095238095239,0.9714285714285714,0.8252380952380951,0.8621874437358202,0.3047619047619048,0.050918199999988326,0.640004789568596
aws_s3,cloud_api,fixed_overlap,256,BAAI/bge-large-en-v1.5,1158.7459999999999,28704.207333999875,265,255.37735849056602,10.240184283229642,0.6666666666666666,0.8666666666666667,0.9428571428571428,0.7784126984126984,0.8198435311773735,0.31619047619047624,0.03080870476186331,0.6262307920549978
aws_s3,cloud_api,fixed_overlap,256,nomic-ai/nomic-embed-text-v1.5,1158.7459999999999,8810.941374998947,265,255.37735849056602,10.240184283229642,0.6571428571428571,0.8761904761904762,0.9142857142857143,0.7625396825396826,0.8009429050875022,0.28571428571428575,0.01852814285709619,0.6359950601594733
aws_s3,cloud_api,fixed_size,512,sentence-transformers/all-MiniLM-L6-v2,1216.5197499999997,722.0222080004532,106,511.42452830188677,6.093529065788895,0.5523809523809524,0.780952380952381,0.8761904761904762,0.6758730158730158,0.7259652060430652,0.26857142857142857,0.024325409523814505,0.5686633570628489
aws_s3,cloud_api,fixed_overlap,256,sentence-transformers/all-MiniLM-L6-v2,1158.7459999999999,1234.1759589999128,265,255.37735849056602,10.240184283229642,0.5714285714285714,0.7619047619047619,0.8571428571428571,0.6838095238095238,0.7272121560770791,0.2876190476190476,0.028509980952423894,0.5817148521527262
aws_s3,cloud_api,fixed_size,1024,nomic-ai/nomic-embed-text-v1.5,1177.5916659999996,28269.137292001687,53,1022.8490566037735,8.579035936547276,0.6857142857142857,0.8285714285714286,0.9047619047619048,0.7695238095238095,0.8032502333722782,0.3371428571428572,0.01920002857143322,0.5911186114654483
aws_s3,cloud_api,fixed_size,1024,BAAI/bge-large-en-v1.5,1177.5916659999996,9953.962665999825,53,1022.8490566037735,8.579035936547276,0.7142857142857143,0.8571428571428571,0.8666666666666667,0.7844444444444444,0.8056089486063189,0.3276190476190476,0.023503647619077264,0.5908853423764046
aws_s3,cloud_api,fixed_overlap,512,nomic-ai/nomic-embed-text-v1.5,1186.4495829999998,11214.198290999775,132,511.9015151515151,1.1272106124952634,0.6285714285714286,0.8857142857142857,0.9428571428571428,0.758888888888889,0.8054398396890757,0.3371428571428572,0.015042076190454506,0.6003579362543299
aws_s3,cloud_api,fixed_overlap,512,sentence-transformers/all-MiniLM-L6-v2,1186.4495829999998,638.2180829996287,132,511.9015151515151,1.1272106124952634,0.6095238095238096,0.8095238095238095,0.8571428571428571,0.7166666666666667,0.7524773176633638,0.2742857142857143,0.013264752380931236,0.5565696786605137
aws_s3,cloud_api,fixed_size,1024,sentence-transformers/all-MiniLM-L6-v2,1177.5916659999996,482.06000000027416,53,1022.8490566037735,8.579035936547276,0.6571428571428571,0.7619047619047619,0.8,0.7063492063492063,0.7296713856476946,0.2914285714285715,0.02143455238092361,0.5330055960713223
aws_s3,cloud_api,fixed_overlap,512,BAAI/bge-large-en-v1.5,1186.4495829999998,23244.788250000056,132,511.9015151515151,1.1272106124952634,0.7333333333333333,0.9714285714285714,1.0,0.8515873015873017,0.8896249975776127,0.35238095238095246,0.025996066666634204,0.6480422580611258
aws_s3,cloud_api,sentence_based,256,sentence-transformers/all-MiniLM-L6-v2,357.7242910000002,11480.221542000436,225,240.21777777777777,27.134588741546082,0.5619047619047619,0.8095238095238095,0.8666666666666667,0.6825396825396826,0.7290286252572593,0.22666666666666668,0.012616666666651727,0.6093128158724646
aws_s3,cloud_api,sentence_based,256,nomic-ai/nomic-embed-text-v1.5,357.7242910000002,15791.062583000894,225,240.21777777777777,27.134588741546082,0.5714285714285714,0.8,0.8857142857142857,0.6936507936507937,0.7417407245636289,0.2361904761904762,0.014623838095241735,0.6071497486226696
aws_s3,cloud_api,fixed_overlap,1024,BAAI/bge-large-en-v1.5,1244.193042,11612.334791000649,66,1022.2727272727273,14.050283567229497,0.7238095238095238,0.9238095238095239,0.9714285714285714,0.8193650793650793,0.8576170126553728,0.3695238095238096,0.013955514285699099,0.5972573796970957
aws_s3,cloud_api,sentence_based,256,BAAI/bge-large-en-v1.5,357.7242910000002,24854.836665999755,225,240.21777777777777,27.134588741546082,0.6190476190476191,0.8761904761904762,0.9619047619047619,0.7553968253968254,0.8073914937032431,0.25523809523809526,0.022274628571444004,0.6461252072182887
aws_s3,cloud_api,fixed_overlap,1024,nomic-ai/nomic-embed-text-v1.5,1244.193042,26787.023958000646,66,1022.2727272727273,14.050283567229497,0.7142857142857143,0.9238095238095239,0.9333333333333333,0.8134920634920634,0.8443474511313159,0.3885714285714286,0.01772221904763021,0.609369009442282
aws_s3,cloud_api,fixed_overlap,1024,sentence-transformers/all-MiniLM-L6-v2,1244.193042,354.02287500073726,66,1022.2727272727273,14.050283567229497,0.5333333333333333,0.7428571428571429,0.819047619047619,0.6441269841269842,0.6879434644267011,0.31238095238095237,0.011947990476203683,0.4964957664737484
aws_s3,cloud_api,sentence_based,512,BAAI/bge-large-en-v1.5,428.0024170000001,15344.2338750001,109,496.0642201834862,38.767544173865595,0.6285714285714286,0.8952380952380953,0.9428571428571428,0.7617460317460316,0.8077643820351417,0.2933333333333334,0.013229771428489658,0.6314810157561962
aws_s3,cloud_api,sentence_based,512,nomic-ai/nomic-embed-text-v1.5,428.0024170000001,14114.750291999371,109,496.0642201834862,38.767544173865595,0.5904761904761905,0.8285714285714286,0.9047619047619048,0.716031746031746,0.7635302550129222,0.2933333333333334,0.011487676190433777,0.5925303295656388
aws_s3,cloud_api,sentence_based,512,sentence-transformers/all-MiniLM-L6-v2,428.0024170000001,410.88979200048925,109,496.0642201834862,38.767544173865595,0.4380952380952381,0.7238095238095238,0.7904761904761904,0.5769841269841269,0.6308623020688432,0.24,0.010226942857152093,0.5185567914700095
aws_s3,cloud_api,recursive,256,sentence-transformers/all-MiniLM-L6-v2,67.6510419999996,1324.94216699979,294,197.87074829931973,47.696642319514424,0.5333333333333333,0.7904761904761904,0.8666666666666667,0.6668253968253968,0.7171581574278885,0.23809523809523808,0.015916628571461495,0.5830922632410125
aws_s3,cloud_api,recursive,256,BAAI/bge-large-en-v1.5,67.6510419999996,28244.136916999196,294,197.87074829931973,47.696642319514424,0.7333333333333333,0.9333333333333333,0.9619047619047619,0.8347619047619047,0.8672487403507497,0.2628571428571429,0.03138058095235491,0.654246718235858
